,Disease Name,DOID,UBERON,Exact Synonyms
7985,blackwater fever,14068,,"['black water fever', 'hemoglobinuric, malaria', 'malarial hemoglobinuria']"
7986,cerebral malaria,14069,0001893,['malarial encephalitis']
7987,anterior uveitis,1407,,[]
7988,vestibular nystagmus,14070,,['nystagmus associated with disorder of the vestibular system']
7989,obsolete neoplastic pregnancy complications,14072,,[]
7990,geniculate ganglionitis,14075,,[]
7991,glucocorticoid-remediable aldosteronism,14080,,[]
7992,toxic labyrinthitis,14081,,[]
7993,epicondylitis,14087,,"['lateral epicondylitis', 'andrel epicondylitis', ""archer's elbow"", ""golfer's elbow"", 'hockey elbow', 'medial epicondylitis']"
7994,root caries,14089,,"['cementum caries', 'dental caries of root surface']"
7995,obsolete heartwater disease,14090,,['heartwater (disorder)']
7996,renal artery atheroma,14092,0001184,"['atherosclerosis of renal artery', 'renal atherosclerosis']"
7997,boutonneuse fever,14095,,"['african tick typhus', 'rickettsia conorii spotted fever', 'south african tick-bite fever', 'kenya tick typhus', 'marseilles fever']"
7998,infertility due to extratesticular cause,14096,,['infertility due to extratesticular causes']
7999,acquired gastric outlet stenosis,14099,,"['acquired hypertrophic pyloric stenosis', 'adult hypertrophic pyloric stenosis']"
8000,De Quervain disease,14107,,"['radial styloid tenosynovitis', ""tenosynovitis, de quervain's""]"
8001,obsolete syphilitic peritonitis,14108,,[]
8002,anus cancer,14110,0001245,"['anal cancer', 'malignant anal tumor']"
8003,median rhomboid glossitis,14111,,['persistent tuberculum impar']
8004,obsolete congenital adhesion of tongue,14114,,"['congenital adhesions of tongue', 'congenital adhesions of tongue (disorder)', 'adhesions,tongue-congenital']"
8005,toxic shock syndrome,14115,,"['tss', 'toxic shock']"
8006,multiple symmetric lipomatosis,14116,,"['lipodystrophy, cephalothoracic', 'lipomatosis, familial benign cervical', ""launois-bensaude's lipomatosis"", ""madelung's neck"", 'cervical symmetrical lipomatosis', 'multiple symmetrical lipomatosis']"
8007,obsolete group A hyperlipidemia,14117,,"['ldl hyperlipoproteinemia', 'pure hypercholesterolaemia', 'pure hypercholesterolemia', 'pure hypercholesterolemia (disorder)', 'pure hypercholesterolemia nos (disorder)', 'hyperlipidemia, group a (disorder)']"
8008,familial lipoprotein lipase deficiency,14118,,"['fredrickson type i hyperlipoproteinemia', 'fredrickson type i lipaemia', 'familial lpl deficiency', 'familial chylomicronemia syndrome', 'familial hyperlipoproteinemia type i', 'hypercholesterinaemic xanthomatosis', 'hyperchylomicronemia', 'mixed hyperglyceridemia']"
8009,bacteriuria,1412,,[]
8010,blue toe syndrome,14121,0002387,[]
8011,abducens nerve neoplasm,14125,,"['vith cranial nerve tumors', 'neoplasm of abducens nerve']"
8012,lateral cystocele,14130,,[]
8013,midline cystocele,14131,,[]
8014,Masters-Allen syndrome,14133,,['broad ligament laceration syndrome']
8015,anus lymphoma,14139,0001744,['lymphoma of anus']
8016,ovarian dysfunction,1414,,[]
8017,pulp erosion,14140,,[]
8018,malignant anus melanoma,14145,,"['anal melanoma', 'malignant melanoma of anus']"
8019,ureterolithiasis,14146,,"['ureteric calculus', 'ureteric stone', 'calculus of ureter']"
8020,gyrate atrophy,1415,,"['gyrate atrophy of the choroid and/or retina', 'ornithinemia with gyrate atrophy', 'gyrate atrophy of the retina']"
8021,spinal cord lymphoma,14150,,['lymphoma of the spinal cord']
8022,spinal cord melanoma,14151,0002240,['melanoma of the spinal cord']
8023,spinal cord sarcoma,14152,0002240,['sarcoma of the spinal cord']
8024,acute retrobulbar neuritis,14155,,['retrobulbar neuritis']
8025,obsolete malnutrition of mild degree,14157,,[]
8026,obstructive hydrocephalus,14159,,[]
8027,obsolete metastatic malignant tumor to the anus,14163,,['secondary malignant neoplasm of anus (disorder)']
8028,bilateral hyperactive labyrinth,14165,,"['hyperactive bilateral labyrinthine dysfunction', 'hyperactive labyrinth, bilateral']"
8029,choroid disease,1417,0001776,[]
8030,rheumatic congestive heart failure,14172,,"['congestive rheumatic heart failure', 'rheumatic heart failure']"
8031,central neurocytoma,14174,,['neurolipocytoma']
8032,von Hippel-Lindau disease,14175,,"['hippel lindau syndrome', 'von hippel-lindau syndrome']"
8033,selective IgG deficiency disease,14176,,"['immunoglobin g subclass deficiency', 'selective igg immunodeficiency', 'selective immunoglobulin g subclass deficiency', 'selective deficiency of igg', 'selective immunoglobulin g deficiency']"
8034,congenital hypogammaglobulinemia,14177,,['congenital hypogammaglobulinaemia']
8035,obsolete immunodeficiency with increased IgM,14178,,[]
8036,X-linked agammaglobulinemia,14179,,"['btk deficiency', 'bruton agammaglobulinemia tyrosine kinase deficiency', 'bruton disease', ""bruton's sex-linked agammaglobulinemia"", ""bruton's agammaglobulinaemia"", ""bruton's type agammaglobulinemia"", 'bruton-type agammaglobulinemia']"
8037,calcific tendinitis,14181,,[]
8038,obsolete metastatic tumor to the choroid,14182,,[]
8039,alcoholic neuropathy,14183,,"['alcohol-related polyneuropathy', 'alcoholic polyneuropathy']"
8040,polyneuropathy due to drug,14184,,[]
8041,frozen shoulder,14188,,"['adhesive capsulitis of shoulder', 'adhesions-capsulitis,shoulder']"
8042,obsolete residual schizophrenia subchronic state with acute exacerbation,1419,,[]
8043,obsolete shared paranoid disease,14190,,"['induced psychotic disorder', 'shared paranoid disorder', 'shared psychotic disorder']"
8044,obsolete simple paranoid state,14191,,"['paranoid state, simple']"
8045,bicipital tenosynovitis,14192,,[]
8046,posterior dislocation of lens,14199,,[]
8047,obsolete diplopia,14200,,"['diplopia (disorder)', 'double vision', 'diplopia']"
8048,adult dermatomyositis,14202,,['adult onset dermatomyositis']
8049,childhood type dermatomyositis,14203,,"['juvenile dermatomyositis', 'childhood dermatomyositis']"
8050,hypophosphatasia,14213,,"['childhood hypophosphatasia', 'deficiency of alkaline phosphatase', 'hypophospatasia, childhood']"
8051,obsolete hyperamylasemia,14215,,[]
8052,dihydropyrimidine dehydrogenase deficiency,14218,,"['dihydrouracil dehydrogenase deficiency', 'familial pyrimidinaemia', 'thymine-uracilurea']"
8053,renal tubular acidosis,14219,,[]
8054,abdominal obesity-metabolic syndrome 1,14221,,"['dysmetabolic syndrome x', 'metabolic syndrome x']"
8055,ochronosis,14223,,[]
8056,tracheal calcification,14224,,['calcification of trachea']
8057,acute frontal sinusitis,14225,,[]
8058,azoospermia,14227,,['spermatogenic failure']
8059,oligospermia,14228,,[]
8060,scleromalacia perforans,14230,,[]
8061,orbital cyst,14233,,[]
8062,gastrointestinal tularemia,14239,0001007,"['enteric tularemia', 'intestinal tularaemia']"
8063,chronic perichondritis of pinna,14243,,['chronic pinna perichondritis']
8064,epiphora due to excess lacrimation,14244,,[]
8065,cystoid macular retinal degeneration,14245,,['cystoid macular degeneration of retina']
8066,chronic purulent otitis media,14247,,['chronic suppurative otitis media']
8067,chronic atticoantral disease,14248,,['chronic atticoantral suppurative otitis media']
8068,pyoureter,1425,,['ureter abscess']
8069,Down syndrome,14250,,"['complete trisomy 21 syndrome', ""down's syndrome"", ""down's syndrome - trisomy 21"", 'downs syndrome', 'g trisomy', 'trisomy 21 syndrome']"
8070,vitreoretinal dystrophy,14251,,['vitreoretinal dystrophies']
8071,dystrophies primarily involving the retinal pigment epithelium,14252,,[]
8072,retinal dystrophy in systemic or cerebroretinal lipidoses,14253,,[]
8073,adult-onset Still's disease,14256,,"[""adult onset still's disease"", 'adult-onset still disease']"
8074,obsolete leukemic reticuloendotheliosis of lymph nodes of inguinal region and lower limb,14258,,"['leukemic reticuloendotheliosis involving lymph nodes of inguinal region and lower limb', 'leukemic reticuloendotheliosis of lymph nodes of inguinal region and lower limb (disorder)', 'leukemic reticuloendotheliosis of lymph nodes of inguinal region and/or lower limb (disorder)']"
8075,ureteral disease,1426,0000056,[]
8076,fragile X syndrome,14261,,"['fragile x mental retardation syndrome', 'marker x syndrome', 'martin-bell syndrome']"
8077,oral candidiasis,14262,0000167,"['candidiasis of mouth', 'oral moniliasis', 'thrush, oral', 'thrush']"
8078,obsolete fits in newborn,14263,,"['convulsions in newborn', 'convulsions in the newborn (disorder)', 'seizures in newborn']"
8079,benign neonatal seizures,14264,,"['benign familial neonatal seizures', 'benign neonatal convulsions']"
8080,pulmonary valve insufficiency,14265,,"['pulmonic insufficiency', 'pulmonic valve regurgitation', 'pulmonary incompetence', 'pulmonary incompetence, non-rheumatic', 'pulmonary insufficiency following trauma and surgery', 'pulmonary regurg.', 'pulmonary regurgitation']"
8081,sclerosing cholangitis,14268,,['fibrosing cholangitis']
8082,suppurative cholangitis,14269,,[]
8083,obsolete disorder of pancreatic internal secretion,1427,,"['unspecified disorder of pancreatic internal secretion', 'disorder of pancreatic internal secretion (disorder)']"
8084,ascending cholangitis,14270,,[]
8085,acute cholangitis,14271,,[]
8086,pericholangitis,14272,,[]
8087,atrophic vulva,14275,,['atrophy of vulva']
8088,shoulder impingement syndrome,14276,,"['impingement syndrome of shoulder region', 'subacromial impingement']"
8089,obsolete arthropathy of the hand,14278,,"['arthropathy nos, of the hand (disorder)', 'joint disorder nos, of the hand (disorder)', 'unspecified disorder of hand joint']"
8090,endocrine pancreas disease,1428,0000016,[]
8091,primary hypertrophic osteoarthropathy,14283,,"['pachydermoperiostosis of nail', 'pachydermoperiostosis syndrome']"
8092,patellofemoral pain syndrome,14284,,[]
8093,neurogenic arthropathy,14286,,"['arthropathy associated with neurological disorder', ""charcot's arthropathy"", 'neuropathic arthropathy']"
8094,brawny scleritis,14287,,[]
8095,Ebstein anomaly,14289,,"[""ebstein's anomaly"", ""ebstein's anomaly of common atrioventricular valve"", ""ebstein's anomaly of right atrioventricular valve"", ""ebstein's anomaly of tricuspid valve""]"
8096,Noonan syndrome with multiple lentigines,14291,,"['capute-rimoin-konigsmark-esterly-richardson syndrome', 'generalized lentiginosis', 'gorlin syndrome ii', 'leopard syndrome', 'lentiginosis profusa syndrome', 'moynahan syndrome', 'multiple lentigines syndrome', 'progressive cardiomyopathic lentiginosis']"
8097,vulvar dystrophy,14292,,['dystrophy of vulva']
8098,tuberculous empyema,14305,,[]
8099,skin epithelioid hemangioma,14308,,"['angiolymphoid cutaneous hyperplasia', 'epithelioid hemangioma of skin']"
8100,obsolete Norovirus gastroenteritis,14311,,"['calcivirus enteritis', 'norwalk virus enteritis', 'small round virus enteritis']"
8101,obsolete nontoxic uninodular goiter,14312,,"['non-toxic uninodular goiter (disorder)', 'non-toxic uninodular goiter (disorder) [ambiguous]', 'non-toxic uninodular goitre']"
8102,obsolete thyroid nodule,14313,,"['nodule of the thyroid gland', 'thyroid nodule', 'thyroid nodule (disorder)']"
8103,pleuropneumonia,14319,,[]
8104,blindness,1432,,"['vision impairment', 'vision loss', 'visual impairment']"
8105,generalized anxiety disorder,14320,,[]
8106,Marfan syndrome,14323,0000947,"[""marfan's syndrome""]"
8107,Plasmodium malariae malaria,14324,,"['malaria by plasmodium malariae', 'quartan malaria']"
8108,mixed malaria,14325,,"['malaria fever by more than one parasite', 'malaria by more than one parasite']"
8109,obsolete avian malaria,14326,,['avian malaria (disorder)']
8110,obsolete gonococcal pericarditis,14327,,['gonococcal pericarditis (disorder)']
8111,Parkinson's disease,14330,,"['parkinson disease', 'paralysis agitans']"
8112,postencephalitic Parkinson disease,14332,,['postencephalitic parkinsonism']
8113,estrogen excess,14336,,['hyperestrogenism']
8114,obsolete Pseudomonal pneumonia,14338,,"['pneumonia due to pseudomonas', 'pneumonia due to pseudomonas (disorder)']"
8115,obsolete paraphrenia,14339,,"['paraphrenia', 'paraphrenia (disorder)']"
8116,suppurative thyroiditis,14350,,"['infectious thyroiditis', 'acute suppurative thyroiditis']"
8117,Riedel's fibrosing thyroiditis,14351,,['riedel fibrosing thyroiditis']
8118,acute thyroiditis,14353,,[]
8119,corneal ectasia,1436,,[]
8120,obsolete Opisthorchis viverrini infectious disease,14360,,"['infection by opisthorchis viverrini (disorder)', 'opisthorchis viverrini infection']"
8121,obsolete congenital syphilitic meningitis,14363,,['congenital syphilitic meningitis (disorder)']
8122,systemic primary carnitine deficiency disease,14365,,"['carnitine transporter deficiency', 'carnitine uptake defect', 'deficiency of plasma-membrane carnitine transporter', 'primary carnitine deficiency', 'renal carnitine transport defect']"
8123,norwegian scabies,14374,,['crusted scabies']
8124,parietal lobe neoplasm,14384,0001872,"['malignant neoplasm of parietal lobe', 'tumor of parietal lobe']"
8125,pyuria,1439,,['pus cells in urine']
8126,thrombophlebitis migrans,14392,,[]
8127,protozoal dysentery,14397,,[]
8128,Machado-Joseph disease,1440,,"['azorean disease', 'mjd', 'sca3', 'spinocerebellar ataxia 3', 'spinocerebellar ataxia type 3']"
8129,capillary leak syndrome,14400,,[]
8130,obsolete cutis marmorata,14401,,"['cutis marmorata', 'cutis marmorata (disorder)']"
8131,critical illness polyneuropathy,14402,,[]
8132,autosomal dominant cerebellar ataxia,1441,,['spinocerebellar ataxia']
8133,labyrinthine bilateral reactive loss,14413,,"['bilateral loss of labyrinthine reactivity', 'loss of labyrinthine reactivity, bilateral']"
8134,Legg-Calve-Perthes disease,14415,,"[""calve - perthes' disease"", 'coxa plana', 'juvenile osteochond-hip/pelvis', 'juvenile osteochondrosis of hip and/or pelvis', ""perthe's disease"", 'perthes disease', 'juvenile osteochondrosis of hip and pelvis', 'osteochondrosis of legg-calve-perthes', 'pseudocoxalgia']"
8135,dracunculiasis,14418,,"['dracontiasis', 'infection by dracunculus medinensis']"
8136,obsolete Mansonella ozzardi infectious disease,14419,,"['filariasis ozzardi infection', 'mansonella ozzardi infection', 'ozzardian filariasis (disorder)']"
8137,obsolete Alpers syndrome,1442,,[]
8138,obsolete Brugia malayi filariasis,14421,,[]
8139,dipetalonemiasis,14422,0000014,"['infection by dipetalonema', 'infection by dipetalonema perstans', 'dipetalonema infectious disease']"
8140,glossopharyngeal neuralgia,14423,,[]
8141,obsolete secondary malignant neoplasm of intra-abdominal lymph node,14425,,"['metastasis to intra-abdominal lymph node', 'secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes', 'secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes (disorder)', 'secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes nos (disorder)', 'secondary malignant neoplasm of intra-abdominal lymph nodes (disorder)']"
8142,obsolete secondary malignant neoplasm of intrathoracic lymph node,14426,,"['metastasis to intrathoracic lymph node', 'secondary and unspecified malignant neoplasm of intrathoracic lymph nodes', 'secondary and unspecified malignant neoplasm of intrathoracic lymph nodes (disorder)', 'secondary and unspecified malignant neoplasm of intrathoracic lymph nodes nos (disorder)', 'secondary malignant neoplasm of intrathoracic lymph nodes (disorder)']"
8143,abnormality of glucagon secretion,14427,,['glucagon secretion abnormality']
8144,cerebral degeneration,1443,0001893,['brain degeneration']
8145,obsolete enterohemorrhagic Escherichia coli infectious disease,14433,,"['verotoxigenic escherichia coli gastrointestinal tract infection', 'verotoxigenic escherichia coli gastrointestinal tract infection (disorder)', 'intestinal infection due to enterohemorrhagic e. coli']"
8146,obsolete enterotoxigenic Escherichia coli infectious disease,14434,,"['enterotoxigenic escherichia coli gastrointestinal tract infection', 'enterotoxigenic escherichia coli gastrointestinal tract infection (disorder)', 'intestinal infection due to enterotoxigenic e. coli']"
8147,chronic tubotympanic suppurative otitis media,14435,,[]
8148,cholinergic urticaria,14443,,[]
8149,sclerosing keratitis,14444,,['sclerokeratitis']
8150,chronic closed-angle glaucoma,14445,,"['anatomical narrow angle glaucoma', 'chronic angle-closure glaucoma', 'chronic narrow angle glaucoma']"
8151,gonadal dysgenesis,14447,,['gonadal dysgenesis syndrome']
8152,"46,XY sex reversal",14448,,"['46 xy gonadal dysgenesis', 'pure gonadal dysgenesis 46,xy', 'swyer syndrome']"
8153,mixed gonadal dysgenesis,14449,,[]
8154,46 XX gonadal dysgenesis,14450,,['ovarian dysgenesis']
8155,hyperkalemic periodic paralysis,14451,,['familial hyperkalemic periodic paralysis']
8156,hypokalemic periodic paralysis,14452,,"['hypokalemic familial periodic paralysis', 'periodic paralysis i', 'westphal disease', 'familial hypokalemic periodic paralysis', 'familial periodic paralysis', 'periodic hypokalemic paralysis']"
8157,farmer's lung,14453,,"['farmers lung', 'farmer lung']"
8158,Brucella melitensis brucellosis,14456,,[]
8159,Brucella abortus brucellosis,14457,,[]
8160,hemangioma of orbit,14459,0004088,['angioma of the orbit']
8161,cavernous hemangioma of orbit,14463,,['cavernous angioma of orbit']
8162,neuroleptic malignant syndrome,14464,,[]
8163,obsolete drug-induced persisting amnestic disease,14467,,[]
8164,hantavirus pulmonary syndrome,14472,0002048,[]
8165,obsolete adenovirus pneumonia,14473,,['pneumonia due to adenovirus']
8166,obsolete respiratory syncytial virus pneumonia,14474,,['pneumonia due to respiratory syncytial virus (disorder)']
8167,obsolete parainfluenzal pneumonia,14475,,['parainfluenza virus pneumonia (disorder)']
8168,obsolete SARS coronavirus pneumonia,14476,,['sars-associated coronavirus pneumonia']
8169,obsolete Cytomegalovirus pneumonia,14477,,['cytomegaloviral pneumonia (disorder)']
8170,pemphigoid gestationis,14482,,"['gestational herpes', 'herpes gestationis']"
8171,chorea gravidarum,14483,,[]
8172,sporotrichosis,14484,,[]
8173,ureteral lymphoma,14489,,['lymphoma of ureter']
8174,obsolete metastasis to the ureter,14490,,"['metastatic neoplasm to the ureter', 'secondary malignant neoplasm of ureter (disorder)']"
8175,regional ureteric cancer,14491,,"['regional ureteric carcinoma', 'regional malignant ureteral tumor']"
8176,obsolete metastatic neoplasm of ureter,14492,,['ureter metastatic malignant neoplasm']
8177,dumping syndrome,14495,,"['dumping (jejunal) syndrome', 'jejunal syndrome']"
8178,Wolman disease,14497,,"['acid esterase deficiency', 'acid lipase deficiency', 'wolman xanthomatosis', ""wolman's disease"", ""wolman's or triglyceride storage type iii disease"", 'xanthomatosis, familial']"
8179,lipoid proteinosis,14498,,"['lipid proteinosis', 'urbach-wiethe disease']"
8180,Fabry disease,14499,,"['alpha-galactosidase a deficiency', 'angiokeratoma corporis diffusum', 'fabry disease, cardiac variant', ""fabry's disease"", 'alpha galactosidase deficiency', 'deficiency of melibiase']"
8181,obsolete papilledema associated with retinal disorder,145,,[]
8182,fucosidosis,14500,,"['a-fucosidase deficiency', 'alpha fucosidase deficiency']"
8183,Sjogren-Larsson syndrome,14501,,"['faldh deficiency', 'sls', 'sjogren larsson syndrome', ""sjogren-larsson's syndrome"", 'fatty acid alcohol oxidoreductase deficiency']"
8184,cholesterol ester storage disease,14502,,[]
8185,neuronal ceroid lipofuscinosis,14503,,['hereditary ceroid lipofuscinosis']
8186,Niemann-Pick disease,14504,,"['sphingomyelinase deficiency disease', 'lipoid histiocytosis', 'sphingomyelin lipidosis']"
8187,peripheral degeneration of cornea,14507,,['peripheral degenerations of cornea']
8188,candidal paronychia,14512,0001705,"['candidiasis of skin', 'candidiasis of skin and nails']"
8189,WAGR syndrome,14515,,"['11p partial monosomy syndrome', 'wilms tumor-aniridia-genitourinary anomalies-mental retardation syndrome', 'chromosome 11p13 deletion syndrome']"
8190,obsolete Idiopathic cysts of iris and ciliary body,14518,,[]
8191,obsolete adenovirus gastroenteritis,14520,,"['enteritis due to adenovirus', 'adenoviral enteritis']"
8192,obsolete cutaneous breast cancer,14521,,['cutaneous breast cancer']
8193,partial arterial retinal occlusion,14522,,"['retinal partial arterial occlusion', 'partial retinal arterial occlusion']"
8194,Argyll Robertson pupil,14523,,"['argyll robertson phenomenon or pupil, nonsyphilitic', 'argyll robertson pupil, atypical', 'atypical argyll-robertson pupil']"
8195,senile degeneration of brain,14524,0001893,['senile brain degen.']
8196,Reye syndrome,14525,,"[""reye's syndrome""]"
8197,external pathological resorption,14529,,[]
8198,atrophic glossitis,1453,,"['atrophy of tongue papillae', ""glossitis, hunter's"", ""hunter's glossitis"", 'smooth atrophic tongue']"
8199,obsolete syringomyelia and syringobulbia,14530,,['syringomyelia and syringobulbia (disorder)']
8200,malignant cardiac peripheral nerve sheath neoplasm,14534,,['mpnst of heart']
8201,malignant cardiac germ cell tumor,14535,,"['malignant cardiac germ cell tumour', 'malignant germ cell tumor of the heart', 'malignant germ cell tumour of the heart']"
8202,obsolete metastasis to heart,14539,,"['metastatic tumor to the heart', 'secondary malignant neoplasm of heart (disorder)']"
8203,obsolete macular or paramacular focal retinitis and retinochoroiditis,14542,,[]
8204,rete testis adenocarcinoma,14544,0002530,['adenocarcinoma of the rete testis']
8205,seminal vesicle adenocarcinoma,14545,0002530,[]
8206,sphenoidal sinus cancer,14546,0001724,"['malignant tumor of sphenoidal sinus', 'malignant tumor of sphenoid sinus']"
8207,sphenoid sinus squamous cell carcinoma,14547,0001724,['epidermoid carcinoma of the sphenoidal sinus']
8208,steroid-induced glaucoma - borderline,14548,,"['borderline glaucoma steroid responder', 'steroid responders borderline glaucoma']"
8209,"obsolete Tympanosclerosis involving tympanic membrane, ear ossicles and middle ear",14549,,"['tympanosclerosis involving tympanic membrane, ear ossicles, and middle ear', 'tympanosclerosis of tympanic membrane, ossicles and middle ear (disorder)']"
8210,geographic tongue,1455,,"['glossitis areata exfoliativa', 'pityriasis linguae', 'benign migratory glossitis']"
8211,root resorption,14550,,[]
8212,Foster-Kennedy syndrome,14555,,[]
8213,primary pulmonary hypertension,14557,,[]
8214,obsolete nontoxic multinodular goiter,14558,,"['non-toxic multinodular goiter (disorder)', 'non-toxic multinodular goitre']"
8215,anaerobic meningitis,14559,,[]
8216,glossitis,1456,,[]
8217,disease of cellular proliferation,14566,,"['cell process disease', 'neoplasm']"
8218,postsurgical hypothyroidism,1458,,"['post-surgical hypothyroidism', 'postoperative hypothyroidism']"
8219,hypothyroidism,1459,,"['thyroid deficiency', 'thyroid insufficiency']"
8220,papilledema,146,,[]
8221,atheroembolism of kidney,1460,0002113,[]
8222,cholesterol embolism,1461,,"['atheroembolism', 'cholesterol crystal embolism', 'purple toe syndrome', 'trash foot', 'warfarin blue toe syndrome']"
8223,obsolete Salmonella septicemia,1465,,['salmonella septicemia (disorder)']
8224,prostatitis,14654,,[]
8225,obsolete Salmonella infectious disease,1466,,['localized salmonella infectious disease']
8226,acrodysostosis,14669,,[]
8227,serous labyrinthitis,1467,,['acute serous labyrinthitis']
8228,"hypertelorism, microtia, facial clefting syndrome",14670,,"['bixler christian gorlin syndrome', 'bixler syndrome', 'bixler-christian-gorlin syndrome', 'hmc syndrome', 'hypertelorism-microtia-clefting syndrome', 'hypertelorism-microtia-facial clefting syndrome']"
8229,multiple intestinal atresia,14671,,"['gidid', 'meddra:10028210', 'multiple gastrointestinal atresias', 'familial intestinal polyatresia syndrome', 'gastrointestinal defects and immunodeficiency syndrome']"
8230,obsolete congenital contricting bands,14676,,[]
8231,VACTERL association,14679,,[]
8232,labyrinthitis,1468,,[]
8233,obsolete hereditary inflammatory vasculitis,14680,,"['vasculitis, hereditary inflammatory, with persistent nodules']"
8234,Silver-Russell syndrome,14681,,['silver russell dwarfism']
8235,Binder syndrome,14683,,['binder type maxillonasal dysplasia']
8236,Axenfeld-Rieger syndrome,14686,0000970,"[""anomaly, rieger's"", 'axenfeld syndrome', 'rgs - rieger syndrome', ""rieger's anomaly""]"
8237,diastrophic dysplasia,14687,,[]
8238,obsolete single major depressive episode in full remission,1469,,"['major depressive disorder, single episode in full remission', 'single major depressive episode, in full remission (disorder)']"
8239,Smith-Lemli-Opitz syndrome,14692,,"['rutledge lethal multiple congenital anomaly syndrome', 'smith-opitz-inborn syndrome']"
8240,Clouston syndrome,14693,,"[""clouston's hidrotic ectodermal dysplasia"", ""clouston's syndrome"", 'hidrotic ectodermal dysplasia syndrome', 'ectodermal dysplasia 2, clouston type', 'hidrotic ectodermal dysplasia']"
8241,Johanson-Blizzard syndrome,14694,,['jbs']
8242,galactokinase deficiency,14695,,['galactosemia ii']
8243,thrombocytopenia-absent radius syndrome,14699,,"['radial aplasia-thrombocytopenia syndrome', 'thrombocytopenia with absent radii (tar) syndrome', 'chromosome 1q21.1 deletion syndrome']"
8244,major depressive disorder,1470,,"['recurrent major depression', 'single major depressive episode']"
8245,propionic acidemia,14701,,"['glycinemia, ketotic', 'ketotic hyperglycinemia', 'ketotic ii glycinemia', 'ketotic glycinemia', 'propionic aciduria', 'propionyl-coa carboxylase deficiency']"
8246,branchiootorenal syndrome,14702,,"['branchio-oto-renal syndrome', 'branchio-otorenal dysplasia', 'melnick-fraser syndrome', 'branchiootorenal dysplasia']"
8247,Pfeiffer syndrome,14705,,['acrocephalosyndactylia type v']
8248,FG syndrome,14711,,"['keller syndrome', 'opitz-kaveggia syndrome']"
8249,centronuclear myopathy,14717,,['myotubular myopathy']
8250,Ehlers-Danlos syndrome classic type 1,14720,,"['ehlers-danlos syndrome, type 1', 'type i ehlers-danlos syndrome']"
8251,beta-ketothiolase deficiency,14723,,"['2-methyl-3-hydroxybutyricacidemia', '3-ketothiolase deficiency', '3-oxothiolase deficiency', 'mitochondrial acetoacetyl-coa thiolase deficiency', 'alpha-methylacetoaceticaciduria', 'peroxisomal thiolase deficiency']"
8252,autosomal dominant microcephaly,14725,,[]
8253,obsolete dominant cogenital severe sensorineural deafness,14727,,[]
8254,Weaver syndrome,14731,,"['weaver-like syndrome', 'weaver-williams syndrome']"
8255,hereditary angioedema,14735,,"['hane', 'hereditary angioneurotic edema']"
8256,craniofrontonasal syndrome,14737,,"['cfnd', 'cfns', 'craniofrontonasal dysostosis', 'craniofrontonasal dysplasia']"
8257,obsolete progressive high-tone neural deafness,14739,,[]
8258,aggressive periodontitis,1474,,['juvenile periodontitis']
8259,trichorhinophalangeal syndrome type I,14743,,"['trichorhinophalangeal syndrome type 1', 'type i trichorhinophalangeal syndrome']"
8260,Partington syndrome,14744,,['x-linked russell-silver syndrome']
8261,Sotos syndrome,14748,,['cerebral gigantism']
8262,methylmalonic acidemia,14749,,['methylmalonic aciduria']
8263,lymphangioma,1475,,"['congenital lymphangioma', 'benign lymphangioma']"
8264,isovaleric acidemia,14753,,"['isovaleryl-coa dehydrogenase deficiency', 'isovaleric acid coa dehydrogenase deficiency', 'isovaleric aciduria']"
8265,argininosuccinic aciduria,14755,,"['argininosuccinate lyase deficiency', 'argininosuccinic acidemia', 'arginosuccinase deficiency', 'deficiency of argininosuccinate lyase']"
8266,vascular type Ehlers-Danlos syndrome,14756,,['autosomal dominant type iv ehlers-danlos syndrome']
8267,Ehlers-Danlos syndrome hypermobility type,14757,,"['ehlers-danlos syndrome, type 3', 'type iii ehlers-danlos syndrome']"
8268,autosomal recessive type IV Ehlers-Danlos syndrome,14759,,"['ehlers-danlos syndrome, recessive type 4']"
8269,Greig cephalopolysyndactyly syndrome,14761,,['polysyndactyly with peculiars skull shape']
8270,calcaneonavicular coalition,14762,,"['multiple synostosis syndrome', 'synostoses, tarsal, carpal and digital']"
8271,Larsen syndrome,14764,,['dominant larsen syndrome']
8272,renal agenesis,14766,,"['hereditary renal aplasia', 'hereditary urogenital adysplasia', 'renal adysplasia', 'renal aplasia']"
8273,Saethre-Chotzen syndrome,14768,,[]
8274,cartilage-hair hypoplasia,14773,,"['chh', 'mckusick type metaphyseal chondrodysplasia', 'metaphyseal chondrodysplasia, mckusick type']"
8275,brittle cornea syndrome 1,14775,0000964,['type vib ehlers-danlos syndrome']
8276,benign familial neonatal epilepsy,14777,,['familial neonatal seizures']
8277,"blepharophimosis, ptosis, and epicanthus inversus syndrome",14778,,[]
8278,KBG syndrome,14780,0001130,[]
8279,olivopontocerebellar atrophy,14784,,"['dejerine-thomas syndrome', ""thomas' syndrome"", 'wadia-swami syndrome']"
8280,obsolete Fryns syndrome,14787,,[]
8281,spondyloepiphyseal dysplasia congenita,14789,,['late spondyloepiphyseal dysplasia']
8282,Leber congenital amaurosis,14791,,"['lca', ""leber's amaurosis"", ""leber's congenital amaurosis"", ""leber's disease""]"
